Copied to clipboard.,In die Zwischenablage kopiert.
Now,Jetzt
in {0} m,in {0} Min.
in {0} h,in {0} Std.
Tomorrow,Morgen
in {0} d,in {0} T
in {0} w,in {0} Wo.
in {0} M,in {0} M
in {0} y,in {0} J
{0} m,{0} Min.
{0} h,{0} Std.
{0} d,{0} T
{0} w,{0} Wo.
{0} M,{0} M
{0} y,{0} J
Just now,Gerade eben
In 1 minute,In 1 Minute
In {0} minutes,In {0} Minuten
In 1 hour,In 1 Stunde
In {0} hours,In {0} Stunden
In {0} days,In {0} Tagen
In {0} weeks,In {0} Wochen
In {0} months,In {0} Monaten
In 1 year,In 1 Jahr
In {0} years,In {0} Jahren
1 minute ago,vor 1 Minute
{0} minutes ago,vor {0} Minuten
1 hour ago,vor 1 Stunde
{0} hours ago,vor {0} Stunden
Yesterday,Gestern
{0} days ago,vor {0} Tagen
1 week ago,vor 1 Woche
{0} weeks ago,vor {0} Wochen
1 month ago,vor 1 Monat
{0} months ago,vor {0} Monaten
1 year ago,vor 1 Jahr
{0} years ago,vor {0} Jahren
You are now online.,Sie sind jetzt online.
You are now offline.,Sie sind jetzt offline.
Ticket updated successfully.,Ticket erfolgreich aktualisiert.
Reply,Antworten
Reply All,Allen antworten
 commented, hat kommentiert
Comment deleted successfully.,Kommentar erfolgreich gelöscht.
Comment cannot be empty.,Kommentar darf nicht leer sein.
Comment updated successfully.,Kommentar erfolgreich aktualisiert.
Reset,Zurücksetzen
Save Changes,Änderungen speichern
Delete,Löschen
Are you sure you want to delete {0} item(s)?,Möchten Sie {0} Element(e) wirklich löschen?
Bulk Operation Failed,Massenvorgang fehlgeschlagen
Bulk Operation Successful,Massenvorgang erfolgreich
{0} item(s) deleted successfully,{0} Element(e) erfolgreich gelöscht
{0} item(s) queued for deletion,{0} Element(e) zur Löschung eingereiht
No Data Found,Keine Daten gefunden
Confirm Changes,Änderungen bestätigen
This view is public. Changes made will be visible to everyone.,Diese Ansicht ist öffentlich. Vorgenommene Änderungen sind für alle sichtbar.
Save,Speichern
Cancel,Abbrechen
List,Liste
has reached out,hat sich gemeldet
has made a call,hat einen Anruf getätigt
Inbound Call,Eingehender Anruf
Outbound Call,Ausgehender Anruf
Listen,Anhören
Saved Replies,Gespeicherte Antworten
New,Neu
Search,Suchen
No saved replies found,Keine gespeicherten Antworten gefunden
All,Alle
Personal,Persönlich
My Team,Mein Team
Global,Global
From,Von
To,Zu
Cc,Cc
Bcc,Bcc
Cc:,Cc:
Bcc:,Bcc:
